,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
0,0.0,Wed Aug 29 19:54:08 +0000 2018,1.0,0.0,0.0,1,@BBCNews
1,0.0,Wed Aug 29 19:54:04 +0000 2018,1.0,0.0,0.0,2,@BBCNews
2,0.0,Wed Aug 29 19:54:03 +0000 2018,1.0,0.0,0.0,3,@BBCNews
3,-0.612,Wed Aug 29 19:54:03 +0000 2018,0.737,0.263,0.0,4,@BBCNews
4,-0.542,Wed Aug 29 19:54:01 +0000 2018,0.816,0.184,0.0,5,@BBCNews
5,0.226,Wed Aug 29 19:53:59 +0000 2018,0.513,0.0,0.487,6,@BBCNews
6,0.0,Wed Aug 29 19:53:56 +0000 2018,1.0,0.0,0.0,7,@BBCNews
7,0.0,Wed Aug 29 19:53:44 +0000 2018,1.0,0.0,0.0,8,@BBCNews
8,-0.612,Wed Aug 29 19:53:32 +0000 2018,0.737,0.263,0.0,9,@BBCNews
9,0.0,Wed Aug 29 19:53:30 +0000 2018,1.0,0.0,0.0,10,@BBCNews
10,0.0,Wed Aug 29 19:53:27 +0000 2018,1.0,0.0,0.0,11,@BBCNews
11,-0.612,Wed Aug 29 19:53:26 +0000 2018,0.737,0.263,0.0,12,@BBCNews
12,0.0,Wed Aug 29 19:53:23 +0000 2018,1.0,0.0,0.0,13,@BBCNews
13,0.0,Wed Aug 29 19:53:13 +0000 2018,1.0,0.0,0.0,14,@BBCNews
14,-0.542,Wed Aug 29 19:53:11 +0000 2018,0.816,0.184,0.0,15,@BBCNews
15,0.0,Wed Aug 29 19:52:56 +0000 2018,1.0,0.0,0.0,16,@BBCNews
16,0.273,Wed Aug 29 19:52:55 +0000 2018,0.675,0.129,0.196,17,@BBCNews
17,-0.077,Wed Aug 29 19:52:45 +0000 2018,0.92,0.08,0.0,18,@BBCNews
18,0.338,Wed Aug 29 19:52:39 +0000 2018,0.715,0.0,0.285,19,@BBCNews
19,-0.612,Wed Aug 29 19:52:30 +0000 2018,0.737,0.263,0.0,20,@BBCNews
20,0.0,Wed Aug 29 19:54:08 +0000 2018,1.0,0.0,0.0,21,@BBCNews
21,0.0,Wed Aug 29 19:54:04 +0000 2018,1.0,0.0,0.0,22,@BBCNews
22,0.0,Wed Aug 29 19:54:03 +0000 2018,1.0,0.0,0.0,23,@BBCNews
23,-0.612,Wed Aug 29 19:54:03 +0000 2018,0.737,0.263,0.0,24,@BBCNews
24,-0.542,Wed Aug 29 19:54:01 +0000 2018,0.816,0.184,0.0,25,@BBCNews
25,0.226,Wed Aug 29 19:53:59 +0000 2018,0.513,0.0,0.487,26,@BBCNews
