,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
0,0.0,Wed Aug 29 20:20:19 +0000 2018,1.0,0.0,0.0,1.0,@BBCNews
1,0.077,Wed Aug 29 20:20:08 +0000 2018,0.885,0.0,0.115,2.0,@BBCNews
2,0.0,Wed Aug 29 20:20:04 +0000 2018,1.0,0.0,0.0,3.0,@BBCNews
3,0.0,Wed Aug 29 20:20:03 +0000 2018,1.0,0.0,0.0,4.0,@BBCNews
4,0.0,Wed Aug 29 20:20:01 +0000 2018,1.0,0.0,0.0,5.0,@BBCNews
5,0.0,Wed Aug 29 20:19:56 +0000 2018,1.0,0.0,0.0,6.0,@BBCNews
6,0.0,Wed Aug 29 20:19:50 +0000 2018,1.0,0.0,0.0,7.0,@BBCNews
7,-0.077,Wed Aug 29 20:19:46 +0000 2018,0.925,0.075,0.0,8.0,@BBCNews
8,0.0,Wed Aug 29 20:19:39 +0000 2018,1.0,0.0,0.0,9.0,@BBCNews
9,0.0,Wed Aug 29 20:19:39 +0000 2018,1.0,0.0,0.0,10.0,@BBCNews
10,0.65,Wed Aug 29 20:19:35 +0000 2018,0.68,0.053,0.266,11.0,@BBCNews
11,-0.361,Wed Aug 29 20:19:26 +0000 2018,0.688,0.196,0.116,12.0,@BBCNews
12,0.611,Wed Aug 29 20:19:23 +0000 2018,0.637,0.0,0.363,13.0,@BBCNews
13,0.522,Wed Aug 29 20:19:17 +0000 2018,0.821,0.0,0.179,14.0,@BBCNews
14,-0.542,Wed Aug 29 20:19:04 +0000 2018,0.816,0.184,0.0,15.0,@BBCNews
15,0.784,Wed Aug 29 20:18:59 +0000 2018,0.695,0.0,0.305,16.0,@BBCNews
16,0.0,Wed Aug 29 20:18:52 +0000 2018,1.0,0.0,0.0,17.0,@BBCNews
17,0.0,Wed Aug 29 20:18:50 +0000 2018,1.0,0.0,0.0,18.0,@BBCNews
18,0.0,Wed Aug 29 20:18:46 +0000 2018,0.51,0.245,0.245,19.0,@BBCNews
19,-0.202,Wed Aug 29 20:18:43 +0000 2018,0.775,0.128,0.097,20.0,@BBCNews
20,0.0,Wed Aug 29 20:20:19 +0000 2018,1.0,0.0,0.0,21.0,@BBCNews
21,0.077,Wed Aug 29 20:20:08 +0000 2018,0.885,0.0,0.115,22.0,@BBCNews
22,0.0,Wed Aug 29 20:20:04 +0000 2018,1.0,0.0,0.0,23.0,@BBCNews
23,0.0,Wed Aug 29 20:20:03 +0000 2018,1.0,0.0,0.0,24.0,@BBCNews
24,0.0,Wed Aug 29 20:20:01 +0000 2018,1.0,0.0,0.0,25.0,@BBCNews
25,0.0,Wed Aug 29 20:19:56 +0000 2018,1.0,0.0,0.0,26.0,@BBCNews
26,0.0,Wed Aug 29 20:19:50 +0000 2018,1.0,0.0,0.0,27.0,@BBCNews
27,-0.077,Wed Aug 29 20:19:46 +0000 2018,0.925,0.075,0.0,28.0,@BBCNews
28,0.0,Wed Aug 29 20:19:39 +0000 2018,1.0,0.0,0.0,29.0,@BBCNews
29,0.0,Wed Aug 29 20:19:39 +0000 2018,1.0,0.0,0.0,30.0,@BBCNews
30,0.65,Wed Aug 29 20:19:35 +0000 2018,0.68,0.053,0.266,31.0,@BBCNews
31,-0.361,Wed Aug 29 20:19:26 +0000 2018,0.688,0.196,0.116,32.0,@BBCNews
32,0.611,Wed Aug 29 20:19:23 +0000 2018,0.637,0.0,0.363,33.0,@BBCNews
33,0.522,Wed Aug 29 20:19:17 +0000 2018,0.821,0.0,0.179,34.0,@BBCNews
34,-0.542,Wed Aug 29 20:19:04 +0000 2018,0.816,0.184,0.0,35.0,@BBCNews
35,0.784,Wed Aug 29 20:18:59 +0000 2018,0.695,0.0,0.305,36.0,@BBCNews
36,0.0,Wed Aug 29 20:18:52 +0000 2018,1.0,0.0,0.0,37.0,@BBCNews
37,0.0,Wed Aug 29 20:18:50 +0000 2018,1.0,0.0,0.0,38.0,@BBCNews
38,0.0,Wed Aug 29 20:18:46 +0000 2018,0.51,0.245,0.245,39.0,@BBCNews
39,-0.202,Wed Aug 29 20:18:43 +0000 2018,0.775,0.128,0.097,40.0,@BBCNews
40,0.0,Wed Aug 29 20:20:19 +0000 2018,1.0,0.0,0.0,41.0,@BBCNews
41,0.077,Wed Aug 29 20:20:08 +0000 2018,0.885,0.0,0.115,42.0,@BBCNews
42,0.0,Wed Aug 29 20:20:04 +0000 2018,1.0,0.0,0.0,43.0,@BBCNews
43,0.0,Wed Aug 29 20:20:03 +0000 2018,1.0,0.0,0.0,44.0,@BBCNews
44,0.0,Wed Aug 29 20:20:01 +0000 2018,1.0,0.0,0.0,45.0,@BBCNews
45,0.0,Wed Aug 29 20:19:56 +0000 2018,1.0,0.0,0.0,46.0,@BBCNews
46,0.0,Wed Aug 29 20:19:50 +0000 2018,1.0,0.0,0.0,47.0,@BBCNews
47,-0.077,Wed Aug 29 20:19:46 +0000 2018,0.925,0.075,0.0,48.0,@BBCNews
48,0.0,Wed Aug 29 20:19:39 +0000 2018,1.0,0.0,0.0,49.0,@BBCNews
49,0.0,Wed Aug 29 20:19:39 +0000 2018,1.0,0.0,0.0,50.0,@BBCNews
50,0.65,Wed Aug 29 20:19:35 +0000 2018,0.68,0.053,0.266,51.0,@BBCNews
51,-0.361,Wed Aug 29 20:19:26 +0000 2018,0.688,0.196,0.116,52.0,@BBCNews
52,0.611,Wed Aug 29 20:19:23 +0000 2018,0.637,0.0,0.363,53.0,@BBCNews
53,0.522,Wed Aug 29 20:19:17 +0000 2018,0.821,0.0,0.179,54.0,@BBCNews
54,-0.542,Wed Aug 29 20:19:04 +0000 2018,0.816,0.184,0.0,55.0,@BBCNews
